formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Li6P1_s027,Li6P1,0.0,42.10975003786028,41.61187485190316,41.68800162972813,55.87229429502021,59,-2.7672691345214844,0.0410593577793667,-2.773384645714286,0.0342056478571426,3.0,0.0,True,0.03420564785714264
Y3P2_s011,Y3P2,0.0,38.35863101062406,40.19267053898212,0.0,40.441363071068245,164,-7.304560852050781,0.0352495193481443,-7.319674233000001,0.026022077666667,3.0,0.0,True,0.03420850576190482
Na7I6_s019,Na7I6,0.0,21.112988496584723,20.776451006505948,21.697902258360404,0.0,166,-2.5643187302809496,0.0209888494931735,-2.5535623726923076,0.034394136034483,1.0,0.0,True,0.03439413603448305
Sc6N5_s013,Sc6N5,0.0,24.83081371961078,27.48075490676009,0.0,24.135540626634928,47,-8.95726151899858,0.0151572252977327,-8.952092321818183,0.0345412117245977,3.0,0.0,True,0.03454121172459779
Rb10Br9_s022,Rb10Br9,0.0,40.51946539379773,40.56365242885544,40.30447825325684,0.0,83,-2.9676589965820312,-0.012849682255795,-2.925578454736842,0.0347591406578944,1.0,0.0,True,0.03475914065789443
Y4P3_s032,Y4P3,27.757823987000567,33.91058895370265,31.304990262501924,10.940706059698975,28.18574206495196,186,-7.385074615478516,0.0185234887259344,-7.382366901428571,0.0261312090476195,3.0,0.0,True,0.034902382006802846
Sc5N4_s003,Sc5N4,0.0,25.12297665814241,31.27268499333984,0.0,29.384158147753222,71,-8.895717196994358,0.0170543271731702,-8.892493196111111,0.0351589056862753,3.0,0.0,True,0.03515890568627533
Y2S1_s047,Y2S1,26.63434837532026,38.45433433698918,41.70094817128975,29.2912802178394,38.1410510528702,156,-6.985859764946832,0.0183325873480901,-6.983801031111111,0.0352642266666665,4.0,0.0,True,0.03526422666666651
Sc6N5_s003,Sc6N5,5.188650915003683,3.3456544936805965,22.9318317960428,0.0,21.380959715976623,164,-8.987498890269887,-0.0150801459735738,-8.951095493636364,0.0355380399064166,3.0,0.0,True,0.035538039906416685
Cs5Cl4_s001,Cs5Cl4,50.28791236138933,50.7889740112532,51.407435113616565,49.35977278512397,0.0,71,-3.0010772281222873,0.0349498258696665,-3.0149467772222223,0.0355820552298853,1.0,0.0,True,0.035582055229885334
Na11O5_s031,Na11O5,0.0,38.74358954917504,38.757846283547046,39.77387621979253,0.0,47,-3.559396743774414,0.0304011851549148,-3.553801558125,0.0356120914655169,1.0,0.0,True,0.035612091465516915
Sr2N1_s090,Sr2N1,0.0,40.94832159244413,38.11211472806273,40.62767869910122,41.52423700428484,166,-4.4387257893880205,8.477105035709087e-07,-4.415718265,0.0357145416666666,1.0,0.0,True,0.035714541666666655
Sr2N1_s049,Sr2N1,0.0,41.2498919415558,38.413271610717295,42.017420107634585,41.95329872190062,166,-4.4387257893880205,8.477105035709087e-07,-4.415711912777778,0.0357208938888886,1.0,0.0,True,0.03572089388888866
Sc8N7_s007,Sc8N7,0.0,0.0,29.0918272242006,0.0,29.15828673429699,225,-9.024833170572917,0.0190555063883461,-9.021471394333334,0.0358112443333347,3.0,0.0,True,0.03581124433333471
Y4P3_s022,Y4P3,16.34222366342001,33.346873120198744,30.72655803919674,13.766417047359855,27.923462665703635,166,-7.384310767764137,0.0192873364403132,-7.381406226428572,0.0270918840476186,3.0,,True,0.035863057006801924
Na5Cl4_s002,Na5Cl4,0.0,33.20028759751943,33.20028759751943,33.831898377613115,0.0,166,-3.1234088473849826,0.0304467148251004,-3.1227408351851853,0.0358931351979565,1.0,0.0,True,0.03589313519795656
Rb5Cl4_s042,Rb5Cl4,0.0,31.389341057407627,32.248900355844015,32.38196178625622,32.39952960985272,166,-3.0634485880533853,0.0180497169494628,-3.0529098674074073,0.035956478425926,1.0,0.0,True,0.035956478425926086
Y4N3_s008,Y4N3,0.0,34.3340756183593,42.42514835974499,5.307975311339731,38.76486759270762,59,-8.67344502040318,0.0364740916660863,-8.710487265714287,0.0032917776190455,3.0,0.0,True,0.03596693119047423
